time,day_of_week,location,is_holiday,weather_condition,total_slots,free_slots_4w,free_slots_2w,event_nearby
06:00-08:00,Sunday,Brigade Road,0,Windy,385,31,30,0
00:00-02:00,Sunday,Commercial Street,0,Cloudy,325,19,95,0
22:00-24:00,Thursday,Jayanagar 4th Block,1,Cloudy,550,102,49,0
22:00-24:00,Sunday,KR Market Parking Complex,1,Cloudy,370,23,83,0
02:00-04:00,Thursday,JC Road Multi-Level Parking,0,Cloudy,300,73,38,0
04:00-06:00,Friday,"Total Mall, Old Airport Road",0,Windy,300,19,87,1
22:00-24:00,Thursday,Indiranagar 100 Feet Road,0,Windy,400,45,57,0
02:00-04:00,Thursday,Indiranagar 100 Feet Road,0,Cloudy,400,87,138,0
10:00-12:00,Sunday,"Phoenix Marketcity, Whitefield",0,Sunny,2200,394,98,0
10:00-12:00,Friday,"Orion Mall, Malleshwaram",0,Cloudy,6200,1277,704,0
10:00-12:00,Thursday,"Total Mall, Old Airport Road",0,Cloudy,300,43,110,0
18:00-20:00,Tuesday,Jayanagar 4th Block,0,Cloudy,550,55,32,0
08:00-10:00,Tuesday,JC Road Multi-Level Parking,0,Sunny,300,80,69,0
20:00-22:00,Thursday,"Orion Mall, Malleshwaram",0,Cloudy,6200,1847,300,0
16:00-18:00,Monday,"Phoenix Marketcity, Whitefield",0,Cloudy,2200,436,93,0
12:00-14:00,Tuesday,"Mantri Square Mall, Malleswaram",0,Sunny,2350,1266,360,0
04:00-06:00,Tuesday,Indiranagar 100 Feet Road,0,Cloudy,400,69,94,0
10:00-12:00,Friday,"Mantri Square Mall, Malleswaram",0,Windy,2350,988,352,0
14:00-16:00,Friday,Brigade Road,1,Rainy,385,17,58,1
18:00-20:00,Monday,Citywide Parking Overview,0,Windy,5300,314,971,0
06:00-08:00,Saturday,"International Tech Park (ITPL), Whitefield",0,Rainy,1400,142,116,1
18:00-20:00,Monday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,307,148,0
00:00-02:00,Tuesday,Church Street,0,Cloudy,500,116,155,0
08:00-10:00,Sunday,Jayanagar 4th Block,0,Cloudy,550,58,78,0
04:00-06:00,Sunday,Indiranagar 100 Feet Road,0,Rainy,400,44,55,0
04:00-06:00,Thursday,"Orion Mall, Malleshwaram",0,Sunny,6200,2141,582,0
16:00-18:00,Saturday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,199,89,0
20:00-22:00,Wednesday,Jayanagar 4th Block,0,Cloudy,550,64,84,0
18:00-20:00,Sunday,Jayanagar 4th Block,0,Rainy,550,30,33,0
00:00-02:00,Saturday,Freedom Park,1,Cloudy,1400,350,98,0
16:00-18:00,Tuesday,"Phoenix Marketcity, Whitefield",0,Windy,2200,215,66,1
20:00-22:00,Friday,"Mantri Square Mall, Malleswaram",0,Windy,2350,305,56,1
22:00-24:00,Thursday,"Orion Mall, Malleshwaram",0,Sunny,6200,2441,237,1
10:00-12:00,Friday,Church Street,0,Sunny,500,78,128,0
10:00-12:00,Tuesday,"Phoenix Marketcity, Whitefield",0,Rainy,2200,1036,165,0
08:00-10:00,Wednesday,Indiranagar 100 Feet Road,0,Windy,400,64,99,0
14:00-16:00,Tuesday,KR Market Parking Complex,0,Cloudy,370,20,72,0
14:00-16:00,Tuesday,"Mantri Square Mall, Malleswaram",1,Sunny,2350,596,168,0
18:00-20:00,Wednesday,KR Market Parking Complex,0,Sunny,370,13,68,0
20:00-22:00,Thursday,Indiranagar 100 Feet Road,0,Rainy,400,14,54,0
12:00-14:00,Sunday,Brigade Road,0,Cloudy,385,20,101,0
20:00-22:00,Friday,Commercial Street,1,Sunny,325,14,37,0
14:00-16:00,Tuesday,"Orion Mall, Malleshwaram",1,Cloudy,6200,2475,440,0
20:00-22:00,Monday,JC Road Multi-Level Parking,0,Cloudy,300,12,17,1
18:00-20:00,Saturday,KR Market Parking Complex,1,Sunny,370,15,27,0
02:00-04:00,Wednesday,JC Road Multi-Level Parking,1,Sunny,300,36,76,0
04:00-06:00,Tuesday,"Mantri Square Mall, Malleswaram",0,Windy,2350,1061,214,0
22:00-24:00,Tuesday,Freedom Park,0,Rainy,1400,226,290,0
12:00-14:00,Tuesday,KR Market Parking Complex,0,Rainy,370,17,68,1
14:00-16:00,Monday,JC Road Multi-Level Parking,0,Cloudy,300,84,77,0
14:00-16:00,Monday,"Total Mall, Old Airport Road",0,Sunny,300,51,62,0
04:00-06:00,Friday,Commercial Street,0,Cloudy,325,15,28,1
14:00-16:00,Tuesday,"Manyata Tech Park, Hebbal",0,Windy,1700,357,195,0
14:00-16:00,Tuesday,KR Market Parking Complex,0,Windy,370,49,91,0
06:00-08:00,Wednesday,JC Road Multi-Level Parking,0,Rainy,300,80,37,0
00:00-02:00,Thursday,"Manyata Tech Park, Hebbal",0,Rainy,1700,337,280,0
16:00-18:00,Sunday,Jayanagar 4th Block,0,Rainy,550,41,48,1
14:00-16:00,Sunday,"International Tech Park (ITPL), Whitefield",0,Windy,1400,280,104,1
08:00-10:00,Sunday,Citywide Parking Overview,0,Cloudy,5300,510,733,0
16:00-18:00,Saturday,"International Tech Park (ITPL), Whitefield",0,Windy,1400,148,44,0
08:00-10:00,Monday,Brigade Road,0,Rainy,385,55,138,0
04:00-06:00,Friday,Indiranagar 100 Feet Road,0,Rainy,400,88,80,0
08:00-10:00,Thursday,Jayanagar 4th Block,0,Rainy,550,65,156,0
20:00-22:00,Wednesday,JC Road Multi-Level Parking,0,Rainy,300,42,41,0
08:00-10:00,Friday,KR Market Parking Complex,0,Rainy,370,26,177,0
10:00-12:00,Wednesday,"Phoenix Marketcity, Whitefield",0,Sunny,2200,705,317,0
14:00-16:00,Friday,Commercial Street,0,Windy,325,20,40,1
14:00-16:00,Wednesday,Commercial Street,1,Cloudy,325,31,49,0
04:00-06:00,Saturday,Freedom Park,0,Cloudy,1400,221,128,0
06:00-08:00,Wednesday,Church Street,0,Sunny,500,71,157,0
14:00-16:00,Saturday,JC Road Multi-Level Parking,1,Windy,300,21,50,1
18:00-20:00,Wednesday,Citywide Parking Overview,0,Sunny,5300,305,620,0
16:00-18:00,Saturday,Brigade Road,0,Sunny,385,8,21,0
08:00-10:00,Sunday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,500,165,0
16:00-18:00,Sunday,Freedom Park,0,Cloudy,1400,52,83,0
18:00-20:00,Wednesday,Commercial Street,0,Sunny,325,10,55,0
06:00-08:00,Saturday,JC Road Multi-Level Parking,0,Cloudy,300,39,21,0
22:00-24:00,Sunday,JC Road Multi-Level Parking,0,Rainy,300,60,30,0
02:00-04:00,Monday,Indiranagar 100 Feet Road,0,Cloudy,400,101,125,0
20:00-22:00,Saturday,"Phoenix Marketcity, Whitefield",1,Cloudy,2200,232,46,0
22:00-24:00,Wednesday,"Phoenix Marketcity, Whitefield",0,Windy,2200,983,159,0
20:00-22:00,Monday,Commercial Street,0,Windy,325,8,69,0
16:00-18:00,Monday,Church Street,0,Windy,500,39,53,0
04:00-06:00,Friday,"Phoenix Marketcity, Whitefield",1,Cloudy,2200,477,206,1
20:00-22:00,Saturday,"Total Mall, Old Airport Road",1,Rainy,300,5,31,0
18:00-20:00,Sunday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,152,35,0
06:00-08:00,Friday,Commercial Street,0,Sunny,325,27,155,0
12:00-14:00,Monday,Citywide Parking Overview,0,Windy,5300,359,3038,0
12:00-14:00,Thursday,Indiranagar 100 Feet Road,1,Cloudy,400,36,58,1
10:00-12:00,Friday,"Phoenix Marketcity, Whitefield",0,Sunny,2200,904,205,0
12:00-14:00,Friday,"International Tech Park (ITPL), Whitefield",0,Rainy,1400,202,266,0
06:00-08:00,Monday,Citywide Parking Overview,0,Cloudy,5300,494,1503,0
18:00-20:00,Wednesday,"Orion Mall, Malleshwaram",0,Windy,6200,1142,263,0
10:00-12:00,Wednesday,Freedom Park,0,Windy,1400,171,146,1
12:00-14:00,Monday,"Phoenix Marketcity, Whitefield",0,Sunny,2200,772,164,0
20:00-22:00,Tuesday,Brigade Road,0,Windy,385,22,86,0
04:00-06:00,Monday,JC Road Multi-Level Parking,0,Rainy,300,45,67,0
12:00-14:00,Monday,"Orion Mall, Malleshwaram",0,Sunny,6200,3902,236,0
10:00-12:00,Saturday,Citywide Parking Overview,1,Sunny,5300,447,614,0
14:00-16:00,Sunday,JC Road Multi-Level Parking,0,Cloudy,300,71,53,0
12:00-14:00,Sunday,Freedom Park,0,Windy,1400,222,95,0
08:00-10:00,Thursday,Commercial Street,0,Rainy,325,32,143,0
22:00-24:00,Thursday,Church Street,1,Windy,500,40,88,0
22:00-24:00,Wednesday,Commercial Street,0,Windy,325,58,102,0
18:00-20:00,Friday,Indiranagar 100 Feet Road,0,Sunny,400,55,50,0
12:00-14:00,Monday,"Manyata Tech Park, Hebbal",0,Windy,1700,490,67,1
02:00-04:00,Saturday,Jayanagar 4th Block,0,Cloudy,550,67,90,0
16:00-18:00,Monday,Church Street,0,Windy,500,61,50,0
00:00-02:00,Friday,"Total Mall, Old Airport Road",0,Windy,300,56,95,0
00:00-02:00,Sunday,"International Tech Park (ITPL), Whitefield",0,Windy,1400,239,49,1
06:00-08:00,Tuesday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,910,290,0
18:00-20:00,Thursday,Commercial Street,0,Rainy,325,9,49,0
10:00-12:00,Tuesday,KR Market Parking Complex,0,Rainy,370,17,47,1
22:00-24:00,Sunday,"Orion Mall, Malleshwaram",0,Windy,6200,753,261,0
16:00-18:00,Monday,"Total Mall, Old Airport Road",0,Cloudy,300,21,55,0
20:00-22:00,Sunday,"Orion Mall, Malleshwaram",0,Windy,6200,523,67,1
08:00-10:00,Saturday,Citywide Parking Overview,0,Windy,5300,265,445,0
12:00-14:00,Monday,"International Tech Park (ITPL), Whitefield",0,Sunny,1400,403,163,0
00:00-02:00,Tuesday,Jayanagar 4th Block,0,Cloudy,550,55,31,1
10:00-12:00,Thursday,Commercial Street,0,Windy,325,33,105,0
22:00-24:00,Thursday,KR Market Parking Complex,0,Rainy,370,21,96,1
02:00-04:00,Sunday,Freedom Park,0,Cloudy,1400,360,64,0
02:00-04:00,Saturday,"Total Mall, Old Airport Road",0,Sunny,300,17,23,0
06:00-08:00,Wednesday,JC Road Multi-Level Parking,0,Windy,300,29,40,1
10:00-12:00,Friday,Commercial Street,0,Rainy,325,45,155,0
02:00-04:00,Tuesday,"Mantri Square Mall, Malleswaram",0,Cloudy,2350,691,281,1
20:00-22:00,Saturday,"Total Mall, Old Airport Road",0,Rainy,300,19,20,0
12:00-14:00,Saturday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,742,85,0
08:00-10:00,Sunday,Brigade Road,0,Windy,385,19,79,0
18:00-20:00,Sunday,"Total Mall, Old Airport Road",1,Rainy,300,8,22,0
02:00-04:00,Thursday,Citywide Parking Overview,0,Windy,5300,560,1200,0
00:00-02:00,Saturday,JC Road Multi-Level Parking,0,Rainy,300,55,58,0
22:00-24:00,Saturday,Freedom Park,0,Windy,1400,285,143,0
02:00-04:00,Friday,"Orion Mall, Malleshwaram",0,Sunny,6200,3288,557,0
02:00-04:00,Tuesday,Freedom Park,0,Windy,1400,309,104,0
06:00-08:00,Sunday,Indiranagar 100 Feet Road,0,Windy,400,22,77,1
10:00-12:00,Thursday,Commercial Street,0,Cloudy,325,42,104,0
10:00-12:00,Saturday,Church Street,0,Windy,500,82,95,0
20:00-22:00,Monday,Church Street,0,Windy,500,40,46,1
18:00-20:00,Friday,"Mantri Square Mall, Malleswaram",0,Windy,2350,157,96,1
16:00-18:00,Thursday,JC Road Multi-Level Parking,0,Windy,300,23,21,0
18:00-20:00,Tuesday,"Mantri Square Mall, Malleswaram",0,Windy,2350,532,109,0
14:00-16:00,Monday,Brigade Road,0,Rainy,385,32,186,0
04:00-06:00,Sunday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,164,63,0
22:00-24:00,Monday,"Mantri Square Mall, Malleswaram",1,Sunny,2350,406,65,0
10:00-12:00,Wednesday,Commercial Street,0,Rainy,325,38,104,0
08:00-10:00,Friday,JC Road Multi-Level Parking,0,Sunny,300,93,50,0
06:00-08:00,Saturday,"Orion Mall, Malleshwaram",0,Rainy,6200,1546,133,1
04:00-06:00,Friday,"Orion Mall, Malleshwaram",0,Rainy,6200,2184,510,0
18:00-20:00,Monday,"Orion Mall, Malleshwaram",0,Windy,6200,613,125,0
14:00-16:00,Sunday,KR Market Parking Complex,0,Cloudy,370,32,83,0
16:00-18:00,Sunday,Citywide Parking Overview,0,Cloudy,5300,206,393,1
00:00-02:00,Monday,"Manyata Tech Park, Hebbal",0,Sunny,1700,357,218,0
00:00-02:00,Thursday,Church Street,0,Rainy,500,137,66,0
06:00-08:00,Thursday,"Phoenix Marketcity, Whitefield",1,Rainy,2200,670,175,0
06:00-08:00,Wednesday,"Total Mall, Old Airport Road",0,Cloudy,300,44,67,0
04:00-06:00,Sunday,Freedom Park,0,Cloudy,1400,173,115,0
22:00-24:00,Sunday,Brigade Road,0,Sunny,385,24,28,0
14:00-16:00,Tuesday,"International Tech Park (ITPL), Whitefield",0,Sunny,1400,246,255,0
14:00-16:00,Saturday,"Orion Mall, Malleshwaram",0,Windy,6200,887,222,0
00:00-02:00,Thursday,Commercial Street,0,Rainy,325,48,144,0
04:00-06:00,Saturday,"International Tech Park (ITPL), Whitefield",0,Sunny,1400,229,93,0
00:00-02:00,Friday,"Total Mall, Old Airport Road",1,Rainy,300,26,67,0
06:00-08:00,Tuesday,Church Street,0,Rainy,500,62,102,0
16:00-18:00,Friday,"Manyata Tech Park, Hebbal",0,Windy,1700,166,115,0
00:00-02:00,Tuesday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,630,212,0
22:00-24:00,Friday,JC Road Multi-Level Parking,0,Rainy,300,35,96,0
00:00-02:00,Thursday,Brigade Road,0,Sunny,385,23,155,0
18:00-20:00,Thursday,"Total Mall, Old Airport Road",0,Windy,300,32,64,0
20:00-22:00,Tuesday,"International Tech Park (ITPL), Whitefield",0,Sunny,1400,299,52,0
08:00-10:00,Saturday,Church Street,0,Rainy,500,47,115,0
10:00-12:00,Sunday,"Manyata Tech Park, Hebbal",1,Rainy,1700,195,146,0
08:00-10:00,Thursday,"Phoenix Marketcity, Whitefield",0,Sunny,2200,578,261,0
06:00-08:00,Sunday,Church Street,0,Rainy,500,66,110,0
20:00-22:00,Friday,Citywide Parking Overview,0,Cloudy,5300,188,637,0
16:00-18:00,Monday,"Manyata Tech Park, Hebbal",1,Windy,1700,197,52,0
12:00-14:00,Saturday,KR Market Parking Complex,0,Cloudy,370,13,84,0
04:00-06:00,Wednesday,"International Tech Park (ITPL), Whitefield",0,Sunny,1400,530,171,0
22:00-24:00,Thursday,"Phoenix Marketcity, Whitefield",0,Cloudy,2200,1020,267,0
02:00-04:00,Sunday,Freedom Park,0,Cloudy,1400,257,175,0
00:00-02:00,Friday,Brigade Road,0,Cloudy,385,49,164,0
00:00-02:00,Wednesday,Commercial Street,0,Sunny,325,29,108,0
16:00-18:00,Wednesday,"Orion Mall, Malleshwaram",0,Rainy,6200,826,116,0
18:00-20:00,Friday,KR Market Parking Complex,0,Windy,370,16,31,0
16:00-18:00,Wednesday,Freedom Park,0,Rainy,1400,124,113,0
02:00-04:00,Friday,JC Road Multi-Level Parking,0,Sunny,300,29,91,0
02:00-04:00,Wednesday,Church Street,0,Sunny,500,23,32,1
12:00-14:00,Saturday,Jayanagar 4th Block,0,Cloudy,550,71,62,0
08:00-10:00,Tuesday,"Total Mall, Old Airport Road",0,Windy,300,39,148,0
10:00-12:00,Thursday,"International Tech Park (ITPL), Whitefield",0,Windy,1400,496,303,0
02:00-04:00,Thursday,Commercial Street,0,Sunny,325,23,156,0
12:00-14:00,Sunday,"Phoenix Marketcity, Whitefield",1,Windy,2200,553,106,0
10:00-12:00,Saturday,Indiranagar 100 Feet Road,0,Sunny,400,23,44,0
22:00-24:00,Wednesday,Freedom Park,0,Rainy,1400,581,198,0
06:00-08:00,Tuesday,Indiranagar 100 Feet Road,0,Windy,400,80,95,0
06:00-08:00,Sunday,"Manyata Tech Park, Hebbal",1,Windy,1700,444,202,0
04:00-06:00,Friday,JC Road Multi-Level Parking,0,Cloudy,300,29,69,0
18:00-20:00,Sunday,KR Market Parking Complex,0,Cloudy,370,8,22,1
14:00-16:00,Tuesday,"Mantri Square Mall, Malleswaram",0,Windy,2350,699,333,0
20:00-22:00,Wednesday,Church Street,0,Sunny,500,34,67,0
16:00-18:00,Tuesday,"Mantri Square Mall, Malleswaram",0,Cloudy,2350,298,131,1
14:00-16:00,Friday,"Mantri Square Mall, Malleswaram",0,Sunny,2350,516,335,0
16:00-18:00,Sunday,"Orion Mall, Malleshwaram",1,Rainy,6200,1121,109,0
08:00-10:00,Friday,"Manyata Tech Park, Hebbal",0,Sunny,1700,424,346,0
20:00-22:00,Tuesday,"International Tech Park (ITPL), Whitefield",1,Rainy,1400,81,76,0
16:00-18:00,Thursday,Indiranagar 100 Feet Road,0,Sunny,400,21,38,0
18:00-20:00,Monday,Citywide Parking Overview,0,Sunny,5300,424,625,0
14:00-16:00,Monday,"Manyata Tech Park, Hebbal",0,Sunny,1700,513,143,0
00:00-02:00,Saturday,Indiranagar 100 Feet Road,0,Rainy,400,31,58,0
08:00-10:00,Sunday,JC Road Multi-Level Parking,0,Sunny,300,21,33,0
06:00-08:00,Thursday,JC Road Multi-Level Parking,0,Cloudy,300,77,47,0
16:00-18:00,Sunday,"Manyata Tech Park, Hebbal",0,Rainy,1700,88,59,0
10:00-12:00,Wednesday,"International Tech Park (ITPL), Whitefield",0,Rainy,1400,742,203,0
08:00-10:00,Tuesday,Brigade Road,1,Windy,385,21,43,0
16:00-18:00,Wednesday,Freedom Park,0,Windy,1400,200,101,1
04:00-06:00,Saturday,KR Market Parking Complex,0,Cloudy,370,22,80,0
00:00-02:00,Monday,"Total Mall, Old Airport Road",0,Windy,300,19,29,1
12:00-14:00,Saturday,Freedom Park,0,Rainy,1400,193,64,0
02:00-04:00,Saturday,"Phoenix Marketcity, Whitefield",0,Sunny,2200,206,107,0
16:00-18:00,Friday,"Manyata Tech Park, Hebbal",0,Sunny,1700,176,71,1
20:00-22:00,Monday,Church Street,0,Rainy,500,46,84,0
16:00-18:00,Saturday,Brigade Road,0,Rainy,385,13,17,0
18:00-20:00,Sunday,"Orion Mall, Malleshwaram",0,Windy,6200,855,121,0
14:00-16:00,Monday,Jayanagar 4th Block,0,Cloudy,550,71,81,0
00:00-02:00,Tuesday,"Phoenix Marketcity, Whitefield",0,Windy,2200,487,137,1
08:00-10:00,Wednesday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,1049,184,0
20:00-22:00,Tuesday,Jayanagar 4th Block,0,Rainy,550,56,78,0
16:00-18:00,Friday,Indiranagar 100 Feet Road,0,Rainy,400,20,63,0
06:00-08:00,Sunday,Indiranagar 100 Feet Road,0,Windy,400,54,97,0
02:00-04:00,Tuesday,Brigade Road,0,Sunny,385,60,160,0
18:00-20:00,Thursday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,233,41,0
08:00-10:00,Tuesday,"International Tech Park (ITPL), Whitefield",0,Rainy,1400,329,230,0
20:00-22:00,Monday,"Phoenix Marketcity, Whitefield",0,Rainy,2200,120,84,1
20:00-22:00,Saturday,Brigade Road,0,Windy,385,10,27,0
04:00-06:00,Friday,Indiranagar 100 Feet Road,0,Sunny,400,107,77,0
20:00-22:00,Sunday,"Manyata Tech Park, Hebbal",0,Sunny,1700,169,39,1
12:00-14:00,Tuesday,Citywide Parking Overview,0,Cloudy,5300,400,1014,0
08:00-10:00,Monday,Church Street,0,Cloudy,500,88,113,0
06:00-08:00,Sunday,KR Market Parking Complex,0,Sunny,370,13,57,0
14:00-16:00,Saturday,Freedom Park,0,Sunny,1400,372,111,0
08:00-10:00,Saturday,Jayanagar 4th Block,0,Windy,550,79,60,0
00:00-02:00,Sunday,"Orion Mall, Malleshwaram",0,Sunny,6200,2220,187,1
14:00-16:00,Thursday,Brigade Road,0,Rainy,385,38,209,0
00:00-02:00,Sunday,"Manyata Tech Park, Hebbal",1,Rainy,1700,154,164,1
22:00-24:00,Sunday,Citywide Parking Overview,0,Cloudy,5300,285,625,0
10:00-12:00,Friday,Jayanagar 4th Block,0,Cloudy,550,113,107,0
14:00-16:00,Monday,"Orion Mall, Malleshwaram",0,Cloudy,6200,1719,733,0
22:00-24:00,Friday,"Manyata Tech Park, Hebbal",1,Sunny,1700,296,114,0
20:00-22:00,Monday,"International Tech Park (ITPL), Whitefield",1,Windy,1400,100,50,1
14:00-16:00,Monday,Commercial Street,0,Cloudy,325,26,74,1
12:00-14:00,Monday,"International Tech Park (ITPL), Whitefield",0,Sunny,1400,280,104,0
14:00-16:00,Sunday,"Manyata Tech Park, Hebbal",0,Rainy,1700,265,101,0
02:00-04:00,Monday,Commercial Street,0,Windy,325,37,118,0
04:00-06:00,Wednesday,Freedom Park,0,Cloudy,1400,604,227,0
18:00-20:00,Thursday,JC Road Multi-Level Parking,0,Sunny,300,13,26,1
06:00-08:00,Thursday,Brigade Road,0,Rainy,385,13,106,1
06:00-08:00,Thursday,"Total Mall, Old Airport Road",1,Windy,300,22,44,0
22:00-24:00,Friday,"Phoenix Marketcity, Whitefield",1,Sunny,2200,511,126,0
10:00-12:00,Saturday,"Manyata Tech Park, Hebbal",0,Sunny,1700,418,70,0
04:00-06:00,Friday,JC Road Multi-Level Parking,0,Rainy,300,38,93,0
16:00-18:00,Saturday,Freedom Park,0,Rainy,1400,148,71,0
22:00-24:00,Saturday,JC Road Multi-Level Parking,0,Windy,300,52,56,0
12:00-14:00,Thursday,Freedom Park,0,Cloudy,1400,671,95,0
16:00-18:00,Saturday,"Phoenix Marketcity, Whitefield",0,Windy,2200,359,58,0
16:00-18:00,Tuesday,Brigade Road,0,Sunny,385,27,46,0
10:00-12:00,Tuesday,Church Street,0,Sunny,500,123,179,0
22:00-24:00,Tuesday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,791,168,0
08:00-10:00,Tuesday,JC Road Multi-Level Parking,0,Rainy,300,49,39,1
06:00-08:00,Sunday,"Mantri Square Mall, Malleswaram",1,Rainy,2350,673,131,0
08:00-10:00,Saturday,Freedom Park,0,Windy,1400,330,103,0
06:00-08:00,Saturday,"Phoenix Marketcity, Whitefield",0,Rainy,2200,517,172,0
20:00-22:00,Thursday,Brigade Road,0,Rainy,385,28,61,0
06:00-08:00,Tuesday,Indiranagar 100 Feet Road,1,Windy,400,74,56,0
08:00-10:00,Sunday,Brigade Road,0,Cloudy,385,34,130,0
06:00-08:00,Wednesday,Indiranagar 100 Feet Road,0,Rainy,400,76,134,0
18:00-20:00,Tuesday,"Total Mall, Old Airport Road",0,Windy,300,9,42,0
02:00-04:00,Saturday,Brigade Road,0,Rainy,385,21,136,0
20:00-22:00,Friday,Commercial Street,0,Sunny,325,13,50,0
04:00-06:00,Monday,"Orion Mall, Malleshwaram",1,Rainy,6200,1153,133,0
00:00-02:00,Saturday,KR Market Parking Complex,0,Sunny,370,15,35,1
10:00-12:00,Wednesday,Freedom Park,0,Windy,1400,704,216,0
08:00-10:00,Tuesday,Jayanagar 4th Block,0,Windy,550,96,85,0
08:00-10:00,Thursday,"Manyata Tech Park, Hebbal",0,Cloudy,1700,310,169,0
12:00-14:00,Sunday,Indiranagar 100 Feet Road,0,Sunny,400,45,47,0
04:00-06:00,Sunday,"Total Mall, Old Airport Road",0,Rainy,300,12,53,0
08:00-10:00,Tuesday,"Total Mall, Old Airport Road",1,Sunny,300,22,68,0
22:00-24:00,Sunday,Citywide Parking Overview,0,Rainy,5300,418,836,0
14:00-16:00,Thursday,Freedom Park,0,Windy,1400,239,79,1
16:00-18:00,Tuesday,Indiranagar 100 Feet Road,0,Rainy,400,48,87,0
08:00-10:00,Sunday,JC Road Multi-Level Parking,0,Sunny,300,23,25,0
06:00-08:00,Tuesday,Citywide Parking Overview,0,Windy,5300,250,870,1
22:00-24:00,Monday,Commercial Street,1,Sunny,325,21,71,0
06:00-08:00,Monday,"Phoenix Marketcity, Whitefield",0,Rainy,2200,401,242,0
16:00-18:00,Sunday,"Orion Mall, Malleshwaram",0,Sunny,6200,1177,135,0
18:00-20:00,Monday,Freedom Park,0,Rainy,1400,149,68,0
00:00-02:00,Friday,"Mantri Square Mall, Malleswaram",0,Cloudy,2350,179,232,1
20:00-22:00,Friday,Citywide Parking Overview,0,Rainy,5300,404,1426,0
00:00-02:00,Sunday,"Total Mall, Old Airport Road",1,Windy,300,30,56,0
22:00-24:00,Monday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,1315,251,0
02:00-04:00,Sunday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,215,140,0
06:00-08:00,Thursday,"Mantri Square Mall, Malleswaram",0,Rainy,2350,800,242,0
10:00-12:00,Saturday,KR Market Parking Complex,0,Cloudy,370,20,80,0
08:00-10:00,Saturday,Commercial Street,0,Sunny,325,19,42,0
02:00-04:00,Monday,"Phoenix Marketcity, Whitefield",1,Cloudy,2200,297,177,0
10:00-12:00,Monday,"Manyata Tech Park, Hebbal",0,Cloudy,1700,868,239,0
02:00-04:00,Tuesday,Church Street,0,Rainy,500,95,171,0
18:00-20:00,Wednesday,Brigade Road,0,Windy,385,26,84,0
20:00-22:00,Wednesday,Jayanagar 4th Block,0,Windy,550,45,41,0
14:00-16:00,Monday,Brigade Road,0,Windy,385,39,228,0
20:00-22:00,Sunday,"Total Mall, Old Airport Road",0,Cloudy,300,13,23,0
18:00-20:00,Monday,"Phoenix Marketcity, Whitefield",0,Cloudy,2200,597,145,0
02:00-04:00,Tuesday,"Mantri Square Mall, Malleswaram",0,Cloudy,2350,477,177,0
04:00-06:00,Wednesday,Indiranagar 100 Feet Road,0,Rainy,400,83,105,0
20:00-22:00,Monday,Commercial Street,0,Sunny,325,5,25,1
08:00-10:00,Tuesday,"Total Mall, Old Airport Road",0,Rainy,300,28,66,0
02:00-04:00,Sunday,Church Street,0,Sunny,500,65,104,1
14:00-16:00,Tuesday,Freedom Park,0,Windy,1400,359,170,0
16:00-18:00,Thursday,"International Tech Park (ITPL), Whitefield",0,Cloudy,1400,243,99,0
12:00-14:00,Saturday,Jayanagar 4th Block,0,Sunny,550,96,54,0
10:00-12:00,Saturday,Jayanagar 4th Block,0,Windy,550,28,111,0
10:00-12:00,Wednesday,"Total Mall, Old Airport Road",0,Rainy,300,37,58,0
06:00-08:00,Wednesday,"Total Mall, Old Airport Road",0,Cloudy,300,32,51,0
10:00-12:00,Friday,"Manyata Tech Park, Hebbal",1,Windy,1700,440,80,0
12:00-14:00,Monday,Citywide Parking Overview,1,Cloudy,5300,565,517,1
08:00-10:00,Saturday,Indiranagar 100 Feet Road,0,Rainy,400,43,105,0
18:00-20:00,Wednesday,"Orion Mall, Malleshwaram",0,Cloudy,6200,1517,132,0
14:00-16:00,Saturday,Jayanagar 4th Block,1,Sunny,550,91,74,1
02:00-04:00,Friday,KR Market Parking Complex,0,Cloudy,370,9,82,1
22:00-24:00,Monday,KR Market Parking Complex,1,Cloudy,370,29,51,0
02:00-04:00,Friday,Freedom Park,0,Sunny,1400,237,90,1
00:00-02:00,Friday,Freedom Park,0,Rainy,1400,477,145,0
02:00-04:00,Tuesday,"Phoenix Marketcity, Whitefield",0,Cloudy,2200,434,144,1
06:00-08:00,Wednesday,"Manyata Tech Park, Hebbal",0,Windy,1700,527,203,0
10:00-12:00,Thursday,"Orion Mall, Malleshwaram",0,Sunny,6200,1783,191,0
12:00-14:00,Monday,KR Market Parking Complex,0,Rainy,370,17,177,0
22:00-24:00,Wednesday,Jayanagar 4th Block,0,Cloudy,550,175,135,0
